Original Sentence,Triple-Fact 1,Triple-Fact 10,Triple-Fact 11,Triple-Fact 12,Triple-Fact 13,Triple-Fact 14,Triple-Fact 15,Triple-Fact 16,Triple-Fact 17,Triple-Fact 18,Triple-Fact 19,Triple-Fact 2,Triple-Fact 20,Triple-Fact 21,Triple-Fact 22,Triple-Fact 23,Triple-Fact 24,Triple-Fact 25,Triple-Fact 26,Triple-Fact 27,Triple-Fact 3,Triple-Fact 4,Triple-Fact 5,Triple-Fact 6,Triple-Fact 7,Triple-Fact 8,Triple-Fact 9
Thomas was selected by NASA in March 1992 and reported to the Johnson Space Center in August 1992.,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
He is married to fellow NASA astronaut Shannon Walker.,"Shannon Walker <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Shannon Walker <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Andrew ""Andy"" Sydney Withiel Thomas, AO (born 18 December 1951 in Adelaide, South Australia) is an Australian-born American aerospace engineer and a NASA astronaut.","Adelaide <b><font color=""red"">country</font></b> Sydney",,,,,,,,,,,"Thomas <b><font color=""red"">birthPlace</font></b> Adelaide",,,,,,,,,"Adelaide <b><font color=""red"">country</font></b> Sydney","Thomas <b><font color=""red"">birthPlace</font></b> South Australian-born","Thomas <b><font color=""red"">nationality</font></b> American","Thomas <b><font color=""red"">type</font></b> astronaut",,,
"He completed NASA Astronaut Candidate Training and was assigned to the crew of STS-124, the second of three flights that launched components to the International Space Station to complete the Japanese Kib? laboratory in May 2008.","STS-124 <b><font color=""red"">operator</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1994 to 1999, he was as an astronaut support engineer for the NASDA Astronaut Office, supporting the development of the astronaut training program and supported astronaut Koichi Wakata during Wakata's training and mission on STS-72.","Koichi Wakata <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Koichi Wakata <b><font color=""red"">type</font></b> NASDA",,,,,,,,,"Koichi Wakata <b><font color=""red"">type</font></b> astronaut","Koichi Wakata <b><font color=""red"">mission</font></b> STS-72","STS-72 <b><font color=""red"">crew5Up</font></b> Koichi Wakata","STS-72 <b><font color=""red"">crewMembers</font></b> Koichi Wakata",,,
He joined the National Space Development Agency of Japan (NASDA) in 1992 and worked in the development of the H-II launch vehicle for two years.,"H-II <b><font color=""red"">countryOrigin</font></b> Japan",,,,,,,,,,,"1992 <b><font color=""red"">type</font></b> two years",,,,,,,,,"H-II <b><font color=""red"">rocketFunction</font></b> launch vehicle",,,,,,
"He received an International Baccalaureate Diploma from the United World College of South East Asia in 1987, a Bachelors degree in Mechanical Engineering from Keio University in 1992, and a Master of Science degree in Aerospace Engineering from the University of Houston Cullen College of Engineering in 1997.","Keio University <b><font color=""red"">type</font></b> the University",,,,,,,,,,,,,,,,,,,,,,,,,,
"Akihiko Hoshide (?? ??, Hoshide Akihiko, born December 28, 1968) is a Japanese engineer and a JAXA astronaut.","Akihiko Hoshide <b><font color=""red"">birthPlace</font></b> Japanese",,,,,,,,,,,"Akihiko Hoshide <b><font color=""red"">nationality</font></b> Japanese",,,,,,,,,"Akihiko Hoshide <b><font color=""red"">type</font></b> JAXA","Akihiko Hoshide <b><font color=""red"">type</font></b> astronaut",,,,,
"Gaffney was born June 9, 1946, in Carlsbad, New Mexico.","Gaffney <b><font color=""red"">birthPlace</font></b> Carlsbad",,,,,,,,,,,"Carlsbad <b><font color=""red"">isPartOf</font></b> New Mexico",,,,,,,,,,,,,,,
"Francis Andrew ""Drew"" Gaffney, M.D. is an American doctor who flew aboard a NASA Space Shuttle mission as a Payload Specialist.","Drew <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"mission <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,"Drew <b><font color=""red"">type</font></b> a Payload Specialist",,,,,,
"STS-37 Atlantis, was launched from KSC on April 5, 1991, and deployed the 35,000 pound Gamma Ray Observatory.","STS-37 <b><font color=""red"">launchSite</font></b> KSC",,,,,,,,,,,"Gamma Ray Observatory <b><font color=""red"">launchRocket</font></b> STS-37",,,,,,,,,"Gamma Ray Observatory <b><font color=""red"">launchSite</font></b> KSC",,,,,,
"STS-61-B Atlantis was launched at night from the Kennedy Space Center (KSC), Florida, on November 26, 1985.","STS-61-B <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,"STS-61-B <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,
"Jerry Lynn Ross (January 20, 1948, Crown Point, Indiana) is a United States Air Force officer, retired, and a former NASA astronaut.","Jerry Lynn Ross <b><font color=""red"">birthPlace</font></b> Crown Point",,,,,,,,,,,"Crown Point <b><font color=""red"">isPartOf</font></b> Indiana",,,,,,,,,"Jerry Lynn Ross <b><font color=""red"">rank</font></b> United States Air Force","Jerry Lynn Ross <b><font color=""red"">type</font></b> NASA","Jerry Lynn Ross <b><font color=""red"">type</font></b> astronaut",,,,
"In June 2009, Vande Hei was selected as a member of the NASA Astronaut Group 20 and he completed astronaut candidate training in June 2011.","Vande Hei <b><font color=""red"">selection</font></b> the NASA Astronaut Group 20",,,,,,,,,,,"Vande Hei <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
Vande Hei began working at Johnson Space Center in 2006 as part of the U.S. Army contingent there.,"Vande Hei <b><font color=""red"">nationality</font></b> U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Margaret's High School in Saint Louis Park, Minnesota in 1985.","Saint Louis Park <b><font color=""red"">isPartOf</font></b> Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lt. Colonel Vande Hei, U.S. Army, was born in Falls Church, Virginia.","Vande Hei <b><font color=""red"">birthPlace</font></b> Falls Church",,,,,,,,,,,"Falls Church <b><font color=""red"">isPartOf</font></b> Virginia",,,,,,,,,,,,,,,
Mark Thomas Vande Hei is a current NASA astronaut.,"Mark Thomas Vande Hei <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Mark Thomas Vande Hei <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"STS-109 orbited the Earth 165 times, and covered 3.9 million miles in over 262 hours, culminating in a night landing at Kennedy Space Center, Florida.","STS-109 <b><font color=""red"">landingSite</font></b> Kennedy Space Center",,,,,,,,,,,"STS-109 <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,,,,,,,,,,,
"Altman retired from NASA in September 2010 to join Asrc Research and Technology Solutions in Greenbelt, Maryland.","Altman <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected as an astronaut candidate by NASA in December 1994, Altman reported to the Lyndon B. Johnson Space Center in March 1995.","Altman <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Altman <b><font color=""red"">type</font></b> NASA",,,,,,,,,"the Lyndon B. Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,
"Scott Douglas ""Scooter"" Altman (born 15 August 1959) is a United States Navy Captain test pilot and former NASA astronaut.","Altman <b><font color=""red"">rank</font></b> United States Navy",,,,,,,,,,,"Altman <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Altman <b><font color=""red"">type</font></b> astronaut",,,,,,
"Artemyev was born in Riga in the Latvian Soviet Socialist Republic, present-day Latvia, on December 28, 1970.","Artemyev <b><font color=""red"">birthPlace</font></b> Riga",,,,,,,,,,,"Riga <b><font color=""red"">country</font></b> Latvia",,,,,,,,,"Latvia <b><font color=""red"">capital</font></b> Riga","Artemyev <b><font color=""red"">birthPlace</font></b> Latvia","Artemyev <b><font color=""red"">nationality</font></b> Latvia",,,,
"Oleg Germanovich Artemyev (Russian: ???? ?????????? ????????; born December 28, 1970) is a Latvian Cosmonaut for the Russian Federal Space Agency.","Artemyev <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,"Latvian <b><font color=""red"">east</font></b> Russian",,,,,,,,,"Latvian <b><font color=""red"">northeast</font></b> Russian","Oleg <b><font color=""red"">birthPlace</font></b> Latvian","Oleg <b><font color=""red"">nationality</font></b> Latvian",,,,
"Wakata is the first person to serve on five different crews without returning to Earth: STS-119, Expedition 18, Expedition 19, Expedition 20 and STS-127.","STS-119 <b><font color=""red"">expedition7Down</font></b> Expedition 18",,,,,,,,,,,"STS-119 <b><font color=""red"">expedition7Up</font></b> Expedition 18",,,,,,,,,"Expedition 18 <b><font color=""red"">nextMission</font></b> Expedition 19","Expedition 19 <b><font color=""red"">previousMission</font></b> Expedition 18","Expedition 19 <b><font color=""red"">nextMission</font></b> Expedition 20","Expedition 20 <b><font color=""red"">previousMission</font></b> Expedition 19","STS-127 <b><font color=""red"">expedition7Up</font></b> Expedition 20",,
"He served as Flight Engineer 2 on Expedition 18, Expedition 19 and Expedition 20, before returning home as a Mission Specialist on STS-127.","Expedition 18 <b><font color=""red"">nextMission</font></b> Expedition 19",,,,,,,,,,,"Expedition 19 <b><font color=""red"">previousMission</font></b> Expedition 18",,,,,,,,,"Expedition 19 <b><font color=""red"">nextMission</font></b> Expedition 20","Expedition 20 <b><font color=""red"">previousMission</font></b> Expedition 19","STS-127 <b><font color=""red"">expedition7Up</font></b> Expedition 20",,,,
"Wakata remained onboard the ISS to serve as flight engineer on Expedition 18, while STS-119 undocked and returned to Earth without him.","ISS <b><font color=""red"">expedition7Down</font></b> Expedition 18",,,,,,,,,,,"ISS <b><font color=""red"">expedition7Up</font></b> Expedition 18",,,,,,,,,"ISS <b><font color=""red"">expedition7Down</font></b> Expedition 18","ISS <b><font color=""red"">expedition7Up</font></b> Expedition 18",,,,,
"During STS-72, Wakata and fellow astronaut Dan Barry became the first people to play the game Go in space.","STS-72 <b><font color=""red"">crewMembers</font></b> Dan Barry",,,,,,,,,,,"STS-72 <b><font color=""red"">crew6Up</font></b> Dan Barry",,,,,,,,,"Dan Barry <b><font color=""red"">mission</font></b> STS-72","Dan Barry <b><font color=""red"">type</font></b> astronaut",,,,,
"Koichi Wakata (?? ??, Wakata K?ichi, born 1 August 1963) is a Japanese engineer and a JAXA astronaut.","Koichi Wakata <b><font color=""red"">type</font></b> Japanese",,,,,,,,,,,"Koichi Wakata <b><font color=""red"">type</font></b> Japanese",,,,,,,,,"Koichi Wakata <b><font color=""red"">type</font></b> astronaut",,,,,,
"Gardner left NASA in June 1991 to command the USAF Test Pilot School at Edwards Air Force Base, California.","the USAF Test Pilot School <b><font color=""red"">garrison</font></b> Edwards Air Force Base",,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1984, he was assigned as pilot on STS-62-A, the first Space Shuttle mission to launch from Vandenberg AFB, California.","STS-62-A <b><font color=""red"">launchSite</font></b> Vandenberg AFB",,,,,,,,,,,,,,,,,,,,,,,,,,
"Guy Spence Gardner (born January 6, 1948) is a United States Air Force officer and a former astronaut.","Guy Spence Gardner <b><font color=""red"">rank</font></b> United States Air Force",,,,,,,,,,,"Guy Spence Gardner <b><font color=""red"">type</font></b> a former astronaut",,,,,,,,,,,,,,,
"On April 19, 2013, Pavel Vinogradov and Roman Romanenko performed a 6:38 EVA (Russian EVA 32).","Roman Romanenko <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,,,"Roman Romanenko <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,"Pavel Vinogradov <b><font color=""red"">nationality</font></b> Russian",,,,,,
Vinogradov and NASA astronaut Jeffrey Williams spent six hours and 31 minutes making repairs and collecting experiments along the space station's exterior.,"Jeffrey Williams <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Vinogradov <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Jeffrey Williams <b><font color=""red"">type</font></b> astronaut",,,,,,
Vinogradov was joined by NASA astronaut Jeffrey Williams and Spaceflight Participant Anousheh Ansari.,"Jeffrey Williams <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Vinogradov <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Jeffrey Williams <b><font color=""red"">type</font></b> astronaut",,,,,,
"The mission was launched aboard the Soyuz TMA-8 with Vinogradov and NASA astronaut Jeffrey Williams from the Baikonour Cosmodrome in Kazakhstan on March 29, 2006.","the Soyuz TMA-8 <b><font color=""red"">crew1Up</font></b> Vinogradov","Jeffrey Williams <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,"the Soyuz TMA-8 <b><font color=""red"">crewMembers</font></b> Vinogradov",,,,,,,,,"the Soyuz TMA-8 <b><font color=""red"">crew2Up</font></b> NASA","the Soyuz TMA-8 <b><font color=""red"">crew2Up</font></b> Jeffrey Williams","the Soyuz TMA-8 <b><font color=""red"">crewMembers</font></b> Jeffrey Williams","Jeffrey Williams <b><font color=""red"">mission</font></b> the Soyuz TMA-8","the Soyuz TMA-8 <b><font color=""red"">launchSite</font></b> Baikonour","Jeffrey Williams <b><font color=""red"">type</font></b> NASA","Vinogradov <b><font color=""red"">type</font></b> astronaut"
"Vinogradov, Solovyev along and ESA astronaut Lopold Eyharts returned to Earth on February 19, 1998.","Lopold Eyharts <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"Vinogradov flew as the flight engineer on Soyuz TM-26 on August 5, 1997 with cosmonaut Anatoly Solovyev to the Mir space station.","Vinogradov <b><font color=""red"">mission</font></b> Soyuz TM-26",,,,,,,,,,,"Soyuz TM-26 <b><font color=""red"">crewMembers</font></b> Vinogradov",,,,,,,,,"Soyuz TM-26 <b><font color=""red"">crewMembers</font></b> Anatoly Solovyev","Anatoly Solovyev <b><font color=""red"">mission</font></b> Soyuz TM-26","Anatoly Solovyev <b><font color=""red"">mission</font></b> the Mir space station",,,,
"He has also participated in launch preparation of the Soyuz-TM, Buran spacecraft and Energia rocket.","Energia <b><font color=""red"">type</font></b> rocket",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pavel Vladimirovich Vinogradov (Russian: ????? ???????????? ??????????) (born August 31, 1953 in Magadan, USSR) is a cosmonaut and current commander of the International Space Station.","Pavel Vladimirovich Vinogradov <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,,,,,,,,,,,,,,,,
"Olivas served as a mission specialist on space shuttle Discovery on the STS-128 mission, which launched on August 28, 2009.","Olivas <b><font color=""red"">mission</font></b> STS-128",,,,,,,,,,,"STS-128 <b><font color=""red"">crew5Up</font></b> Olivas",,,,,,,,,"STS-128 <b><font color=""red"">crewMembers</font></b> Olivas",,,,,,
NASA selected Olivas as an astronaut candidate in 1998.,"Olivas <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Olivas <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Olivas has flown on two space shuttle missions, STS-117 and STS-128.","Olivas <b><font color=""red"">mission</font></b> STS-117",,,,,,,,,,,"STS-117 <b><font color=""red"">crew5Up</font></b> Olivas",,,,,,,,,"STS-117 <b><font color=""red"">crewMembers</font></b> Olivas","Olivas <b><font color=""red"">mission</font></b> STS-128","STS-128 <b><font color=""red"">crew5Up</font></b> Olivas","STS-128 <b><font color=""red"">crewMembers</font></b> Olivas",,,
"John Daniel ""Danny"" Olivas (born May 25, 1965 in North Hollywood, California) is an American engineer of Mexican descent and a former NASA astronaut.","North Hollywood <b><font color=""red"">isPartOf</font></b> California",,,,,,,,,,,"California <b><font color=""red"">country</font></b> American",,,,,,,,,"Danny <b><font color=""red"">nationality</font></b> American","Danny <b><font color=""red"">type</font></b> NASA","Danny <b><font color=""red"">type</font></b> astronaut",,,,
"Gherman Titov was awarded the title Hero of the Soviet Union, two Orders of Lenin, and numerous medals and foreign orders.","Gherman Titov <b><font color=""red"">nationality</font></b> the Soviet Union",,,,,,,,,,,,,,,,,,,,,,,,,,
"He landed close to the town of Krasny Kut in Saratov Oblast, Russia.","Krasny Kut <b><font color=""red"">federalSubject</font></b> Saratov Oblast",,,,,,,,,,,"Saratov Oblast <b><font color=""red"">country</font></b> Russia",,,,,,,,,,,,,,,
Titov flew the Vostok 2 mission launched on 6 August 1961.,"Titov <b><font color=""red"">mission</font></b> Vostok 2",,,,,,,,,,,"Vostok 2 <b><font color=""red"">crew1Up</font></b> Titov",,,,,,,,,"Vostok 2 <b><font color=""red"">crewMembers</font></b> Titov",,,,,,
Titov was born in the village of Verkhneye Zhilino in the Altai Krai and went to school at the Stalingrad Military Aviation School.,"Titov <b><font color=""red"">birthPlace</font></b> Verkhneye Zhilino",,,,,,,,,,,"Titov <b><font color=""red"">birthPlace</font></b> the Altai Krai",,,,,,,,,,,,,,,
"Titov served in the Soviet Air Force and become General-Colonel, and in his final years in post-Soviet Russia he became a Communist politician.","Titov <b><font color=""red"">rank</font></b> General-Colonel",,,,,,,,,,,,,,,,,,,,,,,,,,
"He was the fourth person in space, counting suborbital voyages of US astronauts Alan Shepard and Gus Grissom.","astronauts <b><font color=""red"">subClassOf</font></b> the fourth person",,,,,,,,,,,"Alan Shepard <b><font color=""red"">type</font></b> the fourth person",,,,,,,,,"Gus Grissom <b><font color=""red"">type</font></b> the fourth person","Alan Shepard <b><font color=""red"">nationality</font></b> US","Gus Grissom <b><font color=""red"">nationality</font></b> US","Alan Shepard <b><font color=""red"">type</font></b> astronauts","Gus Grissom <b><font color=""red"">type</font></b> astronauts",,
"Payette assisted in the carrying of the Olympic flag in the opening ceremonies of the 2010 Olympic Winter Games in Vancouver, British Columbia.","the 2010 <b><font color=""red"">hostCity</font></b> Vancouver",,,,,,,,,,,"the 2010 <b><font color=""red"">hostCity</font></b> British Columbia",,,,,,,,,"Vancouver <b><font color=""red"">isPartOf</font></b> British Columbia","British Columbia <b><font color=""red"">largestcity</font></b> Vancouver",,,,,
It marked the first time two Canadians were in space.,"space <b><font color=""red"">country</font></b> two Canadians",,,,,,,,,,,,,,,,,,,,,,,,,,
"At that time, Robert Thirsk was a member of Expedition 20 on the space station.","Robert Thirsk <b><font color=""red"">mission</font></b> Expedition 20",,,,,,,,,,,"Expedition 20 <b><font color=""red"">crewMembers</font></b> Robert Thirsk",,,,,,,,,,,,,,,
Payette became the first Canadian to participate in an ISS assembly mission and to board the Space Station.,"Payette <b><font color=""red"">nationality</font></b> the first Canadian",,,,,,,,,,,,,,,,,,,,,,,,,,
"Payette flew on Space Shuttle Discovery from May 27 to June 6, 1999, as part of the crew of STS-96.","Payette <b><font color=""red"">mission</font></b> STS-96",,,,,,,,,,,"STS-96 <b><font color=""red"">crewMembers</font></b> Payette",,,,,,,,,"STS-96 <b><font color=""red"">crew6Up</font></b> Payette",,,,,,
Payette served as Chief Astronaut for the Canadian Space Agency from 2000 to 2007.,"Payette <b><font color=""red"">type</font></b> the Canadian Space Agency",,,,,,,,,,,,,,,,,,,,,,,,,,
"Payette obtained her captaincy on the CT-114 Tutor military jet at Canadian Forces Base (CFB) Moose Jaw, in Saskatchewan in February 1996.","Moose Jaw <b><font color=""red"">isPartOf</font></b> Saskatchewan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Payette was selected by the CSA as one of four astronauts from a field of 5,330 applicants in June 1992.","Payette <b><font color=""red"">type</font></b> four astronauts",,,,,,,,,,,,,,,,,,,,,,,,,,
"Payette has completed two spaceflights, STS-96 and STS-127, logging more than 25 days in space.","Payette <b><font color=""red"">mission</font></b> STS-96",,,,,,,,,,,"STS-96 <b><font color=""red"">crewMembers</font></b> Payette",,,,,,,,,"STS-96 <b><font color=""red"">crew6Up</font></b> Payette","Payette <b><font color=""red"">mission</font></b> STS-127","STS-127 <b><font color=""red"">crew4Up</font></b> Payette","STS-127 <b><font color=""red"">crewMembers</font></b> Payette",,,
"Julie Payette, OC, CQ (born October 20, 1963) is a Canadian engineer and astronaut.","Julie Payette <b><font color=""red"">nationality</font></b> Canadian",,,,,,,,,,,"Julie Payette <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"He is buried in Mount Olivet Cemetery (Wheat Ridge), in Colorado.","Wheat Ridge <b><font color=""red"">isPartOf</font></b> Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,
"Swigert was the astronaut who made the famous dramatic announcement, ""Houston, we've had a problem here"".","Swigert <b><font color=""red"">type</font></b> the astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"Incidentally, this made Swigert the first American bachelor astronaut to fly in space.","Swigert <b><font color=""red"">nationality</font></b> American",,,,,,,,,,,"Swigert <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Originally part of the backup crew for the mission, he was assigned to the mission three days before launch, replacing astronaut Ken Mattingly.","Ken Mattingly <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"Swigert was one of three astronauts aboard the ill-fated Apollo 13 moon mission launched April 11, 1970.","Swigert <b><font color=""red"">type</font></b> astronauts",,,,,,,,,,,"Swigert <b><font color=""red"">mission</font></b> Apollo 13",,,,,,,,,"Apollo 13 <b><font color=""red"">crewList</font></b> Swigert","Apollo 13 <b><font color=""red"">crew2Up</font></b> Swigert",,,,,
Swigert became a specialist on the Apollo command module: he was one of the few astronauts who requested to be command-module pilots.,"Swigert <b><font color=""red"">type</font></b> the few astronauts",,,,,,,,,,,,,,,,,,,,,,,,,,
"After leaving NASA, he was elected to the United States House of Representatives for Colorado's 6th congressional district, but died before being sworn in.","NASA <b><font color=""red"">headquarters</font></b> district",,,,,,,,,,,"the United States House of Representatives <b><font color=""red"">location</font></b> district",,,,,,,,,"district <b><font color=""red"">leaderTitle</font></b> the United States House of Representatives",,,,,,
"Before joining NASA, Swigert was a test pilot.","Swigert <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Swigert <b><font color=""red"">occupation</font></b> a test pilot",,,,,,,,,,,,,,,
"On September 22, 2010, Wheelock took command of the International Space Station at the beginning of Expedition 25.","Expedition 25 <b><font color=""red"">programme</font></b> the International Space Station",,,,,,,,,,,"Expedition 25 <b><font color=""red"">spaceStation</font></b> the International Space Station",,,,,,,,,"Wheelock <b><font color=""red"">mission</font></b> Expedition 25","Expedition 25 <b><font color=""red"">crewMembers</font></b> Wheelock",,,,,
Wheelock joined the Expedition 24 crew in progress.,"Wheelock <b><font color=""red"">mission</font></b> Expedition 24",,,,,,,,,,,"Expedition 24 <b><font color=""red"">crewMembers</font></b> Wheelock",,,,,,,,,,,,,,,
"Wheelock launched to the International Space Station on June 15, 2010, aboard the Soyuz TMA-19 spacecraft with Fyodor Yurchikhin and Shannon Walker.","Wheelock <b><font color=""red"">mission</font></b> Soyuz TMA-19",,,,,,,,,,,"Soyuz TMA-19 <b><font color=""red"">crew3Up</font></b> Wheelock",,,,,,,,,"Soyuz TMA-19 <b><font color=""red"">crewMembers</font></b> Wheelock","Soyuz TMA-19 <b><font color=""red"">crew1Up</font></b> Fyodor Yurchikhin","Soyuz TMA-19 <b><font color=""red"">crewMembers</font></b> Fyodor Yurchikhin","Soyuz TMA-19 <b><font color=""red"">crew2Up</font></b> Shannon Walker","Soyuz TMA-19 <b><font color=""red"">crewMembers</font></b> Shannon Walker","Shannon Walker <b><font color=""red"">mission</font></b> Soyuz TMA-19",
"The spacewalks involved outfitting the Node 2 module, storing an S-band antenna, work on the Integrated Truss Structure, and External Stowage Platform 2.","spacewalks <b><font color=""red"">type</font></b> work",,,,,,,,,,,,,,,,,,,,,,,,,,
Wheelock participated in three spacewalks with fellow astronaut Scott Parazynski in order to perform mission critical tasks on the exterior of the Station.,"Wheelock <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Scott Parazynski <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"After his first spaceflight, Wheelock was assigned as the backup to T.J. Creamer for the Soyuz TMA-17/Expedition 22/Expedition 23 mission to the International Space Station.","T.J. Creamer <b><font color=""red"">mission</font></b> Soyuz TMA-17",,,,,,,,,,,"Soyuz TMA-17 <b><font color=""red"">crew2Up</font></b> T.J. Creamer",,,,,,,,,"Soyuz TMA-17 <b><font color=""red"">crewMembers</font></b> T.J. Creamer","Soyuz TMA-17 <b><font color=""red"">crew2Up</font></b> Wheelock",,,,,
"Wheelock was the primary liaison between Star City and NASA operations in Houston, including medical, training, science, contracting, public affairs, and administration departments.","Wheelock <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Houston <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,
In August 1998 Wheelock reported for NASA Astronaut Candidate Training.,"Wheelock <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Wheelock <b><font color=""red"">type</font></b> Astronaut",,,,,,,,,,,,,,,
"His flight testing was focused in the areas of tactical reconnaissance and surveillance systems in the OH-58D, UH-60, RU-21 and C-23 aircraft.","the OH-58D <b><font color=""red"">type</font></b> aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,
"In September 1984, then Lieutenant Wheelock graduated at the top of his flight class and was designated an Army Aviator.","Wheelock <b><font color=""red"">occupation</font></b> Lieutenant",,,,,,,,,,,,,,,,,,,,,,,,,,
After graduation he was commissioned a Second Lieutenant in the U.S. Army's Infantry Branch and entered flight school the next year.,"graduation <b><font color=""red"">title</font></b> U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,
"In a pre-flight interview, Wheelock stated that he was inspired to become an astronaut at an early age.","Wheelock <b><font color=""red"">type</font></b> an astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"[[Douglas Wheelock|Douglas_H._Wheelock]] was born in Binghamton, New York to Olin and Margaret Wheelock.","Wheelock <b><font color=""red"">birthPlace</font></b> Binghamton",,,,,,,,,,,"Binghamton <b><font color=""red"">isPartOf</font></b> New York",,,,,,,,,"Wheelock <b><font color=""red"">birthPlace</font></b> New York",,,,,,
"On July 12, 2011, Wheelock announced that he would be returning to duty with the active United States Army in support of Operation Enduring Freedom.","United States Army <b><font color=""red"">battle</font></b> Operation Enduring Freedom",,,,,,,,,,,,,,,,,,,,,,,,,,
"Following his retirement from the space programme in 1985, he took up at an administrative position at the Bauman school for several years before retiring fully.","1985 <b><font color=""red"">type</font></b> several years",,,,,,,,,,,,,,,,,,,,,,,,,,
Yeliseyev worked as an engineer in Sergey Korolev's design bureau before being selected for cosmonaut training.,"Yeliseyev <b><font color=""red"">type</font></b> cosmonaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"Aleksei Stanislavovich Yeliseyev (Russian: ??????? ????????????? ???????; born July 13, 1934 in Zhizdra) is a retired Soviet cosmonaut who flew on three missions in the Soyuz programme as a flight engineer: Soyuz 5, Soyuz 8, and Soyuz 10.","Aleksei Stanislavovich Yeliseyev <b><font color=""red"">birthPlace</font></b> Russian","Aleksei Stanislavovich Yeliseyev <b><font color=""red"">mission</font></b> Soyuz 8","Soyuz 8 <b><font color=""red"">crew2Up</font></b> Aleksei Stanislavovich Yeliseyev","Soyuz 8 <b><font color=""red"">crewMembers</font></b> Aleksei Stanislavovich Yeliseyev","Aleksei Stanislavovich Yeliseyev <b><font color=""red"">mission</font></b> Soyuz 10","Soyuz 10 <b><font color=""red"">crew2Up</font></b> Aleksei Stanislavovich Yeliseyev","Soyuz 10 <b><font color=""red"">crewMembers</font></b> Aleksei Stanislavovich Yeliseyev",,,,,"Aleksei Stanislavovich Yeliseyev <b><font color=""red"">birthPlace</font></b> Zhizdra",,,,,,,,,"Aleksei Stanislavovich Yeliseyev <b><font color=""red"">type</font></b> cosmonaut","Soyuz 5 <b><font color=""red"">programme</font></b> the Soyuz programme","Soyuz 8 <b><font color=""red"">programme</font></b> the Soyuz programme","Soyuz 10 <b><font color=""red"">programme</font></b> the Soyuz programme","Aleksei Stanislavovich Yeliseyev <b><font color=""red"">mission</font></b> Soyuz 5","Soyuz 5 <b><font color=""red"">crew2Up</font></b> Aleksei Stanislavovich Yeliseyev","Soyuz 5 <b><font color=""red"">crewLaunching</font></b> Aleksei Stanislavovich Yeliseyev"
